section,row,col,value
source_block,0,0,314.1099853516
source_block,0,1,326.8054809570
source_block,0,2,334.1505126953
source_block,0,3,323.5260009766
source_block,1,0,336.7835083008
source_block,1,1,348.4789733887
source_block,1,2,350.8239746094
source_block,1,3,352.9949951172
source_block,2,0,299.9954833984
source_block,2,1,313.3404846191
source_block,2,2,340.3919982910
source_block,2,3,352.1744995117
source_block,3,0,283.6375122070
source_block,3,1,296.9879760742
source_block,3,2,308.4879760742
source_block,3,3,314.0964965820
dct_matrix,0,0,1299.1965332031
dct_matrix,0,1,-41.8909606934
dct_matrix,0,2,-10.5372314453
dct_matrix,0,3,1.1094383001
dct_matrix,1,0,42.4097213745
dct_matrix,1,1,17.8824634552
dct_matrix,1,2,-6.1656780243
dct_matrix,1,3,0.2127882540
dct_matrix,2,0,-48.2954711914
dct_matrix,2,1,10.7419300079
dct_matrix,2,2,-4.9937438965
dct_matrix,2,3,0.4115747213
dct_matrix,3,0,-14.2645730972
dct_matrix,3,1,-15.6934928894
dct_matrix,3,2,0.4930087328
dct_matrix,3,3,4.9922776222
svd_u,0,0,-0.9987297058
svd_u,0,1,0.0157909747
svd_u,0,2,-0.0158531591
svd_u,0,3,-0.0451473854
svd_u,1,0,-0.0321663655
svd_u,1,1,-0.7223739028
svd_u,1,2,-0.3643505871
svd_u,1,3,0.5868474245
svd_u,2,0,0.0373173133
svd_u,2,1,-0.3661319911
svd_u,2,2,-0.5194792151
svd_u,2,3,-0.7711654305
svd_u,3,0,0.0105691543
svd_u,3,1,0.5864076018
svd_u,3,2,-0.7727474570
svd_u,3,3,0.2426432371
svd_s,0,,1301.5682373047
svd_s,1,,27.6104335785
svd_s,2,,6.2654061317
svd_s,3,,1.3079262972
svd_vh,0,0,-0.9994584918
svd_vh,0,1,0.0318827145
svd_vh,0,2,0.0080987159
svd_vh,0,3,-0.0008042227
svd_vh,1,0,-0.0290627424
svd_vh,1,1,-0.9675716758
svd_vh,1,2,0.2319777310
svd_vh,1,3,0.0956386849
svd_vh,2,0,0.0100600421
svd_vh,2,1,0.1110087782
svd_vh,2,2,0.7384504080
svd_vh,2,3,-0.6650314331
svd_vh,3,0,0.0117002567
svd_vh,3,1,0.2246455252
svd_vh,3,2,0.6330969334
svd_vh,3,3,0.7406657934
reconstructed_dct_after_svd,0,0,1320.5861816406
reconstructed_dct_after_svd,0,1,-42.6863021851
reconstructed_dct_after_svd,0,2,-10.6835126877
reconstructed_dct_after_svd,0,3,1.1378123760
reconstructed_dct_after_svd,1,0,43.2538681030
reconstructed_dct_after_svd,1,1,23.0254096985
reconstructed_dct_after_svd,1,2,-7.4095654488
reconstructed_dct_after_svd,1,3,-0.2971793711
reconstructed_dct_after_svd,2,0,-49.0161857605
reconstructed_dct_after_svd,2,1,13.3852500916
reconstructed_dct_after_svd,2,2,-5.6148953438
reconstructed_dct_after_svd,2,3,0.1521754563
reconstructed_dct_after_svd,3,0,-14.6169033051
reconstructed_dct_after_svd,3,1,-19.8790473938
reconstructed_dct_after_svd,3,2,1.5000718832
reconstructed_dct_after_svd,3,3,5.4065260887
after_idct,0,0,321.0109252930
after_idct,0,1,333.7352905273
after_idct,0,2,338.9351501465
after_idct,0,3,326.4919128418
after_idct,1,0,343.6625061035
after_idct,1,1,355.4385986328
after_idct,1,2,356.1352233887
after_idct,1,3,356.8728027344
after_idct,2,0,302.2405700684
after_idct,2,1,316.0801391602
after_idct,2,2,347.0169982910
after_idct,2,3,361.7579345703
after_idct,3,0,287.8320922852
after_idct,3,1,301.4273681641
after_idct,3,2,313.7705383301
after_idct,3,3,319.9366760254
